SubId,HyLakeId,HRU_IsLake,Soil_ID,Veg_ID,O_ID_1,O_ID_2,Landuse_ID,HRU_Area,HRU_ID,LAND_USE_C,VEG_C,SOIL_PROF,HRU_CenX,HRU_CenY,DowSubId,RivSlope,RivLength,BasSlope,BasAspect,BasArea,BkfWidth,BkfDepth,Lake_Cat,LakeVol,LakeDepth,LakeArea,Laketype,Has_Gauge,MeanElev,FloodP_n,Q_Mean,Ch_n,DrainArea,Strahler,Seg_ID,Seg_order,Max_DEM,Min_DEM,DA_Obs,DA_error,Obs_NM,SRC_obs,centroid_x,centroid_y,HRU_S_mean,HRU_A_mean,HRU_E_mean
317,,-1,1,1,1,1,1,1179522,227,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-78.17885975,45.7586428,322,0.000955727,0,4.575206728,168.2607428,1277204.225,2.07232173,0.127890585,2,0.43,4.4,100000,1,0,470.8133331,0.100000002,0.08284177,0.025,1277204.225,1,22,1,373.9056396,371.6539612,0,0,,,1459193.353,12150827.67,4.575,168.261,470.813
218,1035297,1,-1,-1,-1,-1,-1,428280,228,LAKE,LAKE,LAKE,-78.6411125,45.71754438,215,0.000303523,0,4.692234262,173.097303,3037041.334,3.153096108,0.164515413,2,2.48,5.8,430000,1,0,459.9713451,0.100000001,0.191782698,0.025,3037041.334,2,73,1,399.3646851,396.9332581,0,0,,,1423677.9,12142738.82,4.692,173.097,459.971
297,,-1,1,1,1,1,1,480654,229,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-78.35333792,46.06874707,296,0.000803506,0,2.394076752,180.3392322,576202.1938,3.848202092,0.185403953,2,0.29,3.1,100000,1,0,408.7642361,0.100000001,0.285660867,0.032168741,4581550.135,1,19,3,350.0661011,346.625061,0,0,,,1442681.285,12183880.72,2.394,180.339,408.764
452,,-1,1,1,1,1,1,443423,230,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-78.585149,46.04692286,450,0.002533848,0,6.369762985,170.5487503,595144.9573,1.431412616,0.102429056,2,0.63,4.2,150000,1,0,436.6541835,0.100000001,0.039524346,0.036991424,595144.9573,2,118,3,313.262207,307.8948364,0,0,,,1425002.936,12179951.81,6.37,170.549,436.654
136,,-1,1,1,1,1,1,4235874,231,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-78.76573787,45.70937216,137,0.000860097,0,5.673155781,200.7952994,4934133.61,18.22186626,0.471324461,1,4.85,7,700000,1,0,438.5111248,0.125000004,6.40502334,0.031133713,113441478.1,2,66,2,416.9941711,414.5353088,0,0,,,1414178.816,12141449.1,5.673,200.795,438.511
259,,-1,1,1,1,1,1,2749868,232,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-78.41002121,45.81107853,258,0.000913963,0,4.875026917,162.7491244,2861587.508,3.063478694,0.161693732,2,0.54,4.9,110000,1,0,467.2709852,0.089285717,0.181035913,0.025,2861587.508,2,85,5,392.6392822,389.9508362,0,0,,,1440832.448,12155022.62,4.875,162.749,467.271
768,,-1,1,1,1,1,1,8737312,233,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-78.00198288,46.0335243,771,0.001971411,4364.451393,8.973707787,186.5498758,8737312.328,88.18001144,1.21390963,0,0,0,0,0,0,301.2012682,0.100000001,149.9944911,0.034269681,2937774104,4,170,2,215.5025177,206.8983917,0,0,,,1470069.639,12182419.45,8.974,186.55,301.201
888,,-1,1,1,1,1,1,1312066,234,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-77.68263608,45.9864658,901,0.009767957,404.718969,8.584414478,201.9730509,1312066.257,91.45311444,1.240747379,0,0,0,0,0,0,220.6581895,0.100000001,161.3362682,0.07633909,3167269494,4,181,3,156.7661438,152.8128662,0,0,,,1495143.396,12179547.88,8.584,201.973,220.658
264,,-1,1,1,1,1,1,7105972,235,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-78.43412433,45.79999955,261,0.000850001,3968.359359,6.49383688,178.5407201,7105971.861,15.27892132,0.424052749,0,0,0,0,0,0,435.740015,0.100000001,4.503191293,0.025,78866123.62,2,85,2,393.3371277,389.9640198,0,0,,,1439046.315,12153619.18,6.494,178.541,435.74
403,1033094,1,-1,-1,-1,-1,-1,174850,236,LAKE,LAKE,LAKE,-78.30279602,45.93782284,402,0.007423703,0,3.177419211,180.1681614,4165154.231,3.674572889,0.180338472,2,0.6,3.4,170000,1,0,413.4014241,0.100000001,0.26046462,0.064317152,4165154.231,2,108,1,346.5387268,291.9038391,0,0,,,1448029.643,12169248.46,3.177,180.168,413.401
