Run   obj.function   %D_FF%        %D_AT%        %MLT_F_Add%   %MIN_MLT_F%   %Rfrez_F%     %WFPS%        %HydCond_FF%  %FC_FF%       %FC_AT%       %FC_BT%       %MAX_BASEFLOW_RATE_FF%  %MAX_BASEFLOW_RATE_AT%  %MAX_BASEFLOW_RATE_BT%  %BASEFLOW_N_FF%  %BASEFLOW_N_AT%  %BASEFLOW_N_BT%  %Rain_Snow_T%  %Rain_Snow_Delta%  %MAX_PERC_RATE_FF%  %MAX_PERC_RATE_AT%  %MAX_CAP_RISE_RATE%  %MAX_CAPACITY%  %MAX_SNOW_CAPACITY%  %RAIN_ICEPT_PCT%  %SNOW_ICEPT_PCT%  %LAKE_PET_CORR%  %PET_CORRECTION%  n_multi       w_a0          w_n0          w_Cedar       w_Big_Trout   w_Grand       w_Lavieille   w_Misty       w_Animoosh    w_Traverse    w_Burntroot   w_La_Muir     w_Narrowbag   w_Little_Cauchon  w_Hogan       w_North_Depot  w_Radiant     w_Loontail    
21    -9.461498E-01  1.687555E-02  9.387706E-01  3.984858E+00  2.614624E+00  1.258565E+00  1.508350E+01  3.766800E+02  4.928883E-01  5.145887E-01  5.248704E-01  8.422381E+02  9.310311E+02  6.998089E+02  6.712107E-01  3.088447E+00  4.088203E+00  4.574194E-01  3.435003E+00  7.949292E+02  1.950925E+01  9.878692E+02  1.266359E+00  9.478363E-01  2.527558E-02  1.032893E-01  1.309235E+00  5.691115E-01  3.539696E+00  7.236139E-01  3.438593E-01  9.417123E+01  4.500413E+01  3.454118E+01  8.042075E+01  8.160677E+01  4.179812E+01  8.015265E+01  4.716510E+01  2.195604E+01  7.261785E+01  4.220907E+01  3.652245E+01  9.696565E+01  4.469159E+01  4.773393E+01  
22    -7.095677E-01  4.957471E-02  5.357651E-01  1.530143E+00  2.896196E+00  2.855190E-01  6.016982E+00  5.414264E+02  4.928883E-01  5.449760E-01  5.233024E-01  8.422381E+02  9.881357E+02  7.170096E+02  1.582186E-01  1.608144E+00  4.088203E+00  1.926891E+00  2.318060E+00  9.390150E+02  3.032509E+02  7.701657E+02  1.847708E-01  1.077489E+00  1.972926E-02  1.032893E-01  1.132675E+00  6.257131E-01  5.053238E+00  6.720616E-01  6.596881E-01  6.913601E+01  4.290878E+01  2.584796E+01  5.919448E+01  8.160677E+01  4.992920E+01  6.581472E+01  3.657562E+00  2.345503E+01  9.727472E+01  3.670421E+01  1.526644E+01  9.112110E+01  7.259041E+01  3.111296E+01  
23    -1.036608E+00  3.969539E-02  5.357651E-01  3.984858E+00  2.817070E+00  8.687054E-01  1.477909E+01  3.931462E+02  3.266575E-01  5.326406E-01  6.061097E-01  5.030180E+02  7.689967E+02  7.170096E+02  8.008910E-01  1.772546E+00  4.088203E+00  1.050764E+00  3.435003E+00  6.806625E+02  4.524993E+02  8.096626E+02  4.680227E-01  9.478363E-01  6.683783E-02  8.451175E-02  1.493671E+00  7.455549E-01  3.429605E+00  6.521272E-01  5.348076E-01  6.161056E+01  4.290878E+01  2.478646E+01  9.643975E+01  2.562979E+01  4.179812E+01  2.890549E+01  2.090266E+01  2.135914E+01  7.261785E+01  5.033995E+01  4.508534E+01  8.888123E+01  8.653979E+01  4.639342E+01  
24    -8.204214E-01  3.969539E-02  8.280986E-01  4.609287E+00  2.817070E+00  6.291521E-01  1.308759E+01  5.609024E+02  3.266575E-01  5.326406E-01  5.373228E-01  5.030180E+02  8.785229E+02  8.185872E+02  7.371109E-01  2.178235E+00  4.088203E+00  1.050764E+00  2.148962E+00  6.806625E+02  4.805608E+02  8.792495E+02  4.680227E-01  9.478363E-01  1.014628E-01  8.451175E-02  1.239190E+00  5.595357E-01  3.429605E+00  6.515962E-01  6.948866E-01  6.161056E+01  4.290878E+01  2.458559E+01  8.536745E+01  6.011786E+01  4.179812E+01  2.890549E+01  5.120358E+00  1.704963E+01  7.261785E+01  7.860769E+01  4.508534E+01  9.662389E+01  9.771401E+01  5.725501E+01  
25    -1.003803E+00  3.969539E-02  6.167854E-01  3.984858E+00  2.904572E+00  8.687054E-01  2.523436E+01  3.486431E+02  3.405035E-01  5.326406E-01  6.061097E-01  5.030180E+02  6.100979E+02  7.170096E+02  8.008910E-01  9.202575E-01  2.890331E+00  1.050764E+00  3.435003E+00  6.806625E+02  6.985939E+02  8.641296E+02  1.349265E-01  2.520032E+00  6.683783E-02  5.379130E-02  1.405577E+00  7.455549E-01  5.599801E+00  4.433492E-01  4.539959E-01  5.422704E+01  2.825156E+01  2.478646E+01  6.355486E+01  3.175877E+01  2.499705E+01  1.112240E+01  2.090266E+01  2.135914E+01  7.261785E+01  5.033995E+01  5.380267E+01  9.265384E+01  8.959919E+01  5.563879E+01  
26    -9.865655E-01  9.821564E-02  9.536195E-01  4.983258E+00  2.817070E+00  1.543705E+00  2.360907E+01  5.491915E+02  4.623995E-01  5.326406E-01  6.028977E-01  3.561190E+02  7.689967E+02  7.170096E+02  1.550477E+00  1.772048E+00  4.088203E+00  1.643272E+00  3.435003E+00  7.965593E+02  4.129202E+02  8.482871E+02  1.602097E+00  5.957062E-01  3.496627E-02  1.106895E-01  1.493671E+00  5.799103E-01  3.429605E+00  5.157539E-01  5.348076E-01  6.161056E+01  4.375003E+01  2.478646E+01  8.691685E+01  1.471232E+01  2.109435E+01  3.478800E+01  2.090266E+01  2.135914E+01  8.845660E+01  5.033995E+01  4.508534E+01  8.888123E+01  6.937506E+01  2.604014E+01  
27    -1.010843E+00  3.969539E-02  7.204954E-01  3.984858E+00  2.297293E+00  8.687054E-01  1.477909E+01  3.983947E+02  2.278507E-01  5.326406E-01  6.200003E-01  5.030180E+02  7.556771E+02  7.170096E+02  8.008910E-01  1.508794E+00  1.515048E+00  1.562156E+00  4.106902E+00  6.806625E+02  5.851494E+02  6.490754E+02  4.680227E-01  1.735537E+00  1.351201E-01  1.496570E-02  1.466790E+00  7.455549E-01  3.092058E+00  7.958894E-01  5.225423E-01  6.729468E+01  3.255654E+01  2.478646E+01  9.643975E+01  1.706680E+01  4.179812E+01  7.713714E+01  1.619517E+01  2.135914E+01  7.261785E+01  6.165215E+01  4.508534E+01  9.360625E+01  5.542726E+01  4.639342E+01  
28    -1.001873E+00  3.969539E-02  8.171186E-01  3.984858E+00  2.817070E+00  8.687054E-01  1.161744E+01  7.176048E+02  4.131973E-01  5.580614E-01  6.266342E-01  5.030180E+02  7.689967E+02  9.010153E+02  8.008910E-01  1.772546E+00  4.088203E+00  9.497760E-01  3.435003E+00  4.734735E+02  6.499637E+01  8.455175E+02  4.853286E-01  9.478363E-01  1.003867E-01  8.451175E-02  1.236763E+00  7.455549E-01  3.429605E+00  6.521272E-01  4.980185E-01  4.074463E+01  4.290878E+01  4.444208E+01  7.733447E+01  2.562979E+01  4.179812E+01  4.144855E+01  2.090266E+01  2.798223E+01  7.261785E+01  5.157884E+01  4.959793E+01  9.355509E+01  8.892853E+01  5.587005E+01  
29    -8.951669E-01  3.302303E-02  5.357651E-01  3.984858E+00  2.817070E+00  8.687054E-01  1.954479E+01  3.931462E+02  4.507499E-01  5.326406E-01  5.240844E-01  5.030180E+02  5.263257E+02  7.170096E+02  1.010997E+00  4.460616E-01  5.363373E+00  1.050764E+00  3.435003E+00  6.806625E+02  4.524993E+02  8.096626E+02  5.778992E-02  9.478363E-01  6.683783E-02  8.451175E-02  1.326825E+00  7.614592E-01  3.891381E+00  6.521272E-01  5.348076E-01  6.161056E+01  4.290878E+01  1.423759E+01  8.142901E+01  3.008085E+01  3.632143E+01  2.890549E+01  1.214026E+01  7.324779E+00  6.750963E+01  5.033995E+01  6.278433E+01  8.027840E+01  6.195251E+01  4.352726E+01  
30    -5.552181E-01  3.969539E-02  7.697155E-02  2.684688E+00  2.817070E+00  1.409358E+00  1.433442E+01  9.427616E+01  5.467164E-01  3.017651E-01  6.061097E-01  5.030180E+02  9.469867E+02  8.856853E+02  1.683208E+00  2.618807E+00  4.088203E+00  1.050764E+00  3.256922E+00  6.806625E+02  3.742873E+02  8.096626E+02  4.680227E-01  9.478363E-01  6.088511E-02  8.451175E-02  1.493671E+00  5.371527E-01  3.936332E+00  6.521272E-01  5.348076E-01  7.868002E+01  5.030944E+01  2.478646E+01  9.643975E+01  2.562979E+01  4.179812E+01  2.890549E+01  2.090266E+01  7.027352E+01  6.751159E+01  5.033995E+01  3.162449E+01  8.888123E+01  8.536028E+01  4.639342E+01  
